citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:45:27.749435031Z 2018-11-03 18:45:27 [XNIO-2 task-19] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:16:05 CST 2018,结束时间：Sat Oct 26 17:16:21 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:46:13.709969929Z 2018-11-03 18:46:13 [XNIO-2 task-10] INFO  com.citic.activity.promotion.filter.CheckFilter - 请求用户联盟结果{"statusCode":200,"message":"success","data":{"uid":264702143229853696,"phone":"15006923568","citicOpenId":"CD0C485049C24E8E98C2292099BC3BDD","isAuthenticated":false,"level":"0","activityType":"4"}}
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:46:13.710051867Z 2018-11-03 18:46:13 [XNIO-2 task-10] INFO  com.citic.activity.promotion.filter.CheckFilter - get userInfo result is {"activityType":"4","citicOpenId":"CD0C485049C24E8E98C2292099BC3BDD","isAuthenticated":false,"level":"0","phone":"15006923568","uid":264702143229853696}
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:46:32.462348348Z 2018-11-03 18:46:32 [XNIO-2 task-8] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 13:40:51 CST 2018,结束时间：Sat Oct 26 22:00:00 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:46:38.645285375Z 2018-11-03 18:46:38 [AsyncResolver-bootstrap-executor-0] INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:46:44.170489407Z 2018-11-03 18:46:44 [XNIO-2 task-11] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 13:40:51 CST 2018,结束时间：Sat Oct 26 22:00:00 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:46:49.297745284Z 2018-11-03 18:46:49 [XNIO-2 task-14] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 13:40:51 CST 2018,结束时间：Sat Oct 26 22:00:00 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:47:49.914274522Z 2018-11-03 18:47:49 [XNIO-2 task-2] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 13:40:51 CST 2018,结束时间：Sat Oct 26 22:00:00 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:47:50.088461341Z 2018-11-03 18:47:50 [XNIO-2 task-19] INFO  com.citic.activity.promotion.filter.CheckFilter - 请求用户联盟结果{"statusCode":200,"message":"success","data":{"uid":265551743478136832,"phone":"18775176859","citicOpenId":"6359B0E5B74248B0848B2508793F6B78","isAuthenticated":false,"level":"1","activityType":"4"}}
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:47:50.088506673Z 2018-11-03 18:47:50 [XNIO-2 task-19] INFO  com.citic.activity.promotion.filter.CheckFilter - get userInfo result is {"activityType":"4","citicOpenId":"6359B0E5B74248B0848B2508793F6B78","isAuthenticated":false,"level":"1","phone":"18775176859","uid":265551743478136832}
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:47:54.127206868Z 2018-11-03 18:47:54 [XNIO-2 task-4] INFO  com.citic.activity.promotion.filter.CheckFilter - 请求用户联盟结果{"statusCode":200,"message":"success","data":{"uid":265551743478136832,"phone":"18775176859","citicOpenId":"6359B0E5B74248B0848B2508793F6B78","isAuthenticated":false,"level":"1","activityType":"4"}}
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:47:54.127278477Z 2018-11-03 18:47:54 [XNIO-2 task-4] INFO  com.citic.activity.promotion.filter.CheckFilter - get userInfo result is {"activityType":"4","citicOpenId":"6359B0E5B74248B0848B2508793F6B78","isAuthenticated":false,"level":"1","phone":"18775176859","uid":265551743478136832}
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:47:54.129353042Z 2018-11-03 18:47:54 [XNIO-2 task-4] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 13:40:51 CST 2018,结束时间：Sat Oct 26 22:00:00 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:47:54.136241355Z 2018-11-03 18:47:54 [XNIO-2 task-4] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:15:53 CST 2018,结束时间：Sat Oct 26 17:16:16 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:47:54.138822125Z 2018-11-03 18:47:54 [XNIO-2 task-4] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:16:11 CST 2018,结束时间：Sat Oct 26 17:16:26 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:47:54.139543215Z 2018-11-03 18:47:54 [XNIO-2 task-4] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:16:07 CST 2018,结束时间：Sat Oct 26 17:16:32 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:47:54.141273929Z 2018-11-03 18:47:54 [XNIO-2 task-4] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:16:05 CST 2018,结束时间：Sat Oct 26 17:16:21 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:47:54.142863343Z 2018-11-03 18:47:54 [XNIO-2 task-4] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:15:53 CST 2018,结束时间：Sat Oct 26 17:16:16 CST 2019
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:45:10.524967914Z 2018-11-03 18:45:10 [XNIO-2 task-5] INFO  com.citic.activity.promotion.filter.CheckFilter - get userInfo result is {"activityType":"4","citicOpenId":"FE6D6C4B80B3416EB72D85EB7D9978BC","isAuthenticated":false,"level":"0","phone":"15255296712","uid":265551067335360512}
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:45:10.526644265Z 2018-11-03 18:45:10 [XNIO-2 task-5] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 13:40:51 CST 2018,结束时间：Sat Oct 26 22:00:00 CST 2019
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:45:10.539759150Z 2018-11-03 18:45:10 [XNIO-2 task-5] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:15:53 CST 2018,结束时间：Sat Oct 26 17:16:16 CST 2019
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:45:10.542533401Z 2018-11-03 18:45:10 [XNIO-2 task-5] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:16:11 CST 2018,结束时间：Sat Oct 26 17:16:26 CST 2019
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:45:10.545442654Z 2018-11-03 18:45:10 [XNIO-2 task-5] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:16:07 CST 2018,结束时间：Sat Oct 26 17:16:32 CST 2019
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:45:10.548191893Z 2018-11-03 18:45:10 [XNIO-2 task-5] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:16:05 CST 2018,结束时间：Sat Oct 26 17:16:21 CST 2019
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:45:10.552144118Z 2018-11-03 18:45:10 [XNIO-2 task-5] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:15:53 CST 2018,结束时间：Sat Oct 26 17:16:16 CST 2019
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:45:10.554853127Z 2018-11-03 18:45:10 [XNIO-2 task-5] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:16:03 CST 2018,结束时间：Sat Oct 26 17:16:19 CST 2019
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:45:10.557742850Z 2018-11-03 18:45:10 [XNIO-2 task-5] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:16:13 CST 2018,结束时间：Sat Oct 26 17:16:34 CST 2019
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:45:10.560456680Z 2018-11-03 18:45:10 [XNIO-2 task-5] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:16:09 CST 2018,结束时间：Sat Oct 26 17:16:29 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:47:54.145629600Z 2018-11-03 18:47:54 [XNIO-2 task-4] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:16:03 CST 2018,结束时间：Sat Oct 26 17:16:19 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:47:54.147311164Z 2018-11-03 18:47:54 [XNIO-2 task-4] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:16:13 CST 2018,结束时间：Sat Oct 26 17:16:34 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:47:54.149092151Z 2018-11-03 18:47:54 [XNIO-2 task-4] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:16:09 CST 2018,结束时间：Sat Oct 26 17:16:29 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:47:54.149122515Z 2018-11-03 18:47:54 [XNIO-2 task-4] INFO  com.citic.activity.promotion.controller.LotteryController - all product info :[{"4":"0.0"},{"7":"0.0"},{"1":"0.02"},{"2":"0.02"},{"3":"0.02"},{"5":"0.02"},{"6":"0.02"},{"8":"0.9"}],all weight is:0.9999999
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:47:54.149131967Z 2018-11-03 18:47:54 [XNIO-2 task-4] INFO  com.citic.activity.promotion.controller.LotteryController - seed is:0.48987472,uid is:,may product is:8
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:47:54.161611218Z 2018-11-03 18:47:54 [async-service-1] INFO  com.citic.activity.promotion.executor.AsyncPushDroitExecutor - getSign error, intput is UserInfoRequest(channelId=efead0d8420e4664a865e5462eb9b97f, sign=null, userToken=c60f31a9ee4e90c1041832dd288a98a3, citic_open_id=null, channel_token=null)
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:47:54.167649999Z 2018-11-03 18:47:54 [async-service-1] INFO  com.citic.activity.promotion.executor.AsyncPushDroitExecutor - 书院权益发放 input is {"rightsId":"6fe9441d-2243-4e5f-92a2-af725986f3e3","sign":"QBFcGO0rT9TTVth/YzhSIYi+B5SoOyw8JdFfhxtZrqi/YlaznqJEmVIQXZQjHDdoujxIhyoTBu6A/H5UOjeZXg==","channelId":"efead0d8420e4664a865e5462eb9b97f"}
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:45:10.560502691Z 2018-11-03 18:45:10 [XNIO-2 task-5] INFO  com.citic.activity.promotion.controller.LotteryController - all product info :[{"4":"0.0"},{"7":"0.0"},{"1":"0.02"},{"2":"0.02"},{"3":"0.02"},{"5":"0.02"},{"6":"0.02"},{"8":"0.9"}],all weight is:0.9999999
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:45:10.560533750Z 2018-11-03 18:45:10 [XNIO-2 task-5] INFO  com.citic.activity.promotion.controller.LotteryController - seed is:0.57382154,uid is:,may product is:8
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:45:10.578361993Z 2018-11-03 18:45:10 [async-service-3] INFO  com.citic.activity.promotion.executor.AsyncPushDroitExecutor - getSign error, intput is UserInfoRequest(channelId=efead0d8420e4664a865e5462eb9b97f, sign=null, userToken=401e99944753a0f6774b96d3b6378a57, citic_open_id=null, channel_token=null)
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:45:10.584732881Z 2018-11-03 18:45:10 [async-service-3] INFO  com.citic.activity.promotion.executor.AsyncPushDroitExecutor - 书院权益发放 input is {"rightsId":"6fe9441d-2243-4e5f-92a2-af725986f3e3","sign":"FwfSddHwsg8MB32On3Z7uV2mFVSKw4vkuK9QcsPcNW7NhfBj1+LJovYA14cLjmA4ujxIhyoTBu6A/H5UOjeZXg==","channelId":"efead0d8420e4664a865e5462eb9b97f"}
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:45:11.174358015Z 2018-11-03 18:45:11 [async-service-3] INFO  com.citic.activity.promotion.executor.AsyncPushDroitExecutor - 书院权益发放 output is {"status":100}
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:45:33.477317316Z 2018-11-03 18:45:33 [XNIO-2 task-11] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 13:40:51 CST 2018,结束时间：Sat Oct 26 22:00:00 CST 2019
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:45:49.512367713Z 2018-11-03 18:45:49 [XNIO-2 task-17] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 13:40:51 CST 2018,结束时间：Sat Oct 26 22:00:00 CST 2019
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:45:49.674191177Z 2018-11-03 18:45:49 [XNIO-2 task-15] INFO  com.citic.activity.promotion.filter.CheckFilter - 请求用户联盟结果{"statusCode":200,"message":"success","data":{"uid":265551053640957952,"phone":"15143353985","citicOpenId":"941C7B0688614DE5A4C24D462B6C673A","isAuthenticated":false,"level":"1","activityType":"4"}}
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:45:49.674246387Z 2018-11-03 18:45:49 [XNIO-2 task-15] INFO  com.citic.activity.promotion.filter.CheckFilter - get userInfo result is {"activityType":"4","citicOpenId":"941C7B0688614DE5A4C24D462B6C673A","isAuthenticated":false,"level":"1","phone":"15143353985","uid":265551053640957952}
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:45:56.079497497Z 2018-11-03 18:45:56 [XNIO-2 task-16] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 13:40:51 CST 2018,结束时间：Sat Oct 26 22:00:00 CST 2019
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:45:57.437534846Z 2018-11-03 18:45:57 [XNIO-2 task-20] INFO  com.citic.activity.promotion.filter.CheckFilter - 请求用户联盟结果{"statusCode":200,"message":"success","data":{"uid":265551267051339776,"phone":"15800782776","citicOpenId":"ADFB2615C48F4FA5ABE0D8CCBBF4FF0F","isAuthenticated":false,"level":"0","activityType":"4"}}
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:45:57.437951575Z 2018-11-03 18:45:57 [XNIO-2 task-20] INFO  com.citic.activity.promotion.filter.CheckFilter - get userInfo result is {"activityType":"4","citicOpenId":"ADFB2615C48F4FA5ABE0D8CCBBF4FF0F","isAuthenticated":false,"level":"0","phone":"15800782776","uid":265551267051339776}
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:46:00.549972066Z 2018-11-03 18:46:00 [XNIO-2 task-18] INFO  com.citic.activity.promotion.filter.CheckFilter - 请求用户联盟结果{"statusCode":200,"message":"success","data":{"uid":265551267051339776,"phone":"15800782776","citicOpenId":"ADFB2615C48F4FA5ABE0D8CCBBF4FF0F","isAuthenticated":false,"level":"0","activityType":"4"}}
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:46:00.550028396Z 2018-11-03 18:46:00 [XNIO-2 task-18] INFO  com.citic.activity.promotion.filter.CheckFilter - get userInfo result is {"activityType":"4","citicOpenId":"ADFB2615C48F4FA5ABE0D8CCBBF4FF0F","isAuthenticated":false,"level":"0","phone":"15800782776","uid":265551267051339776}
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:46:00.551057028Z 2018-11-03 18:46:00 [XNIO-2 task-18] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 13:40:51 CST 2018,结束时间：Sat Oct 26 22:00:00 CST 2019
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:46:00.558298627Z 2018-11-03 18:46:00 [XNIO-2 task-18] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:15:53 CST 2018,结束时间：Sat Oct 26 17:16:16 CST 2019
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:46:00.559844803Z 2018-11-03 18:46:00 [XNIO-2 task-18] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:16:11 CST 2018,结束时间：Sat Oct 26 17:16:26 CST 2019
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:46:00.561439158Z 2018-11-03 18:46:00 [XNIO-2 task-18] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:16:07 CST 2018,结束时间：Sat Oct 26 17:16:32 CST 2019
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:46:00.564050108Z 2018-11-03 18:46:00 [XNIO-2 task-18] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:16:05 CST 2018,结束时间：Sat Oct 26 17:16:21 CST 2019
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:46:00.565812442Z 2018-11-03 18:46:00 [XNIO-2 task-18] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:15:53 CST 2018,结束时间：Sat Oct 26 17:16:16 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:47:54.770060399Z 2018-11-03 18:47:54 [async-service-1] INFO  com.citic.activity.promotion.executor.AsyncPushDroitExecutor - 书院权益发放 output is {"status":100}
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:48:07.625811160Z 2018-11-03 18:48:07 [XNIO-2 task-1] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 13:40:51 CST 2018,结束时间：Sat Oct 26 22:00:00 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:48:07.979701466Z 2018-11-03 18:48:07 [XNIO-2 task-3] INFO  com.citic.activity.promotion.filter.CheckFilter - 请求用户联盟结果{"statusCode":200,"message":"success","data":{"uid":265551743478136832,"phone":"18775176859","citicOpenId":"6359B0E5B74248B0848B2508793F6B78","isAuthenticated":false,"level":"1","activityType":"4"}}
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:48:07.979759465Z 2018-11-03 18:48:07 [XNIO-2 task-3] INFO  com.citic.activity.promotion.filter.CheckFilter - get userInfo result is {"activityType":"4","citicOpenId":"6359B0E5B74248B0848B2508793F6B78","isAuthenticated":false,"level":"1","phone":"18775176859","uid":265551743478136832}
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:48:30.750897089Z 2018-11-03 18:48:30 [XNIO-2 task-9] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 13:40:51 CST 2018,结束时间：Sat Oct 26 22:00:00 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:49:30.199544566Z 2018-11-03 18:49:30 [XNIO-2 task-17] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 13:40:51 CST 2018,结束时间：Sat Oct 26 22:00:00 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:49:30.391978188Z 2018-11-03 18:49:30 [XNIO-2 task-18] INFO  com.citic.activity.promotion.filter.CheckFilter - 请求用户联盟结果{"statusCode":200,"message":"success","data":{"uid":265552164435263488,"phone":"15512151007","citicOpenId":"1D8130B1E0F448288030FB4D35B31D28","isAuthenticated":false,"level":"0","activityType":"4"}}
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:49:30.392046712Z 2018-11-03 18:49:30 [XNIO-2 task-18] INFO  com.citic.activity.promotion.filter.CheckFilter - get userInfo result is {"activityType":"4","citicOpenId":"1D8130B1E0F448288030FB4D35B31D28","isAuthenticated":false,"level":"0","phone":"15512151007","uid":265552164435263488}
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:50:13.502052762Z 2018-11-03 18:50:13 [XNIO-2 task-19] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 13:40:51 CST 2018,结束时间：Sat Oct 26 22:00:00 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:50:31.539547134Z 2018-11-03 18:50:31 [XNIO-2 task-20] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 13:40:51 CST 2018,结束时间：Sat Oct 26 22:00:00 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:50:39.621465303Z 2018-11-03 18:50:39 [XNIO-2 task-3] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 13:40:51 CST 2018,结束时间：Sat Oct 26 22:00:00 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:50:58.722696450Z 2018-11-03 18:50:58 [XNIO-2 task-6] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 13:40:51 CST 2018,结束时间：Sat Oct 26 22:00:00 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:51:20.020629686Z 2018-11-03 18:51:20 [XNIO-2 task-10] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 13:40:51 CST 2018,结束时间：Sat Oct 26 22:00:00 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:51:24.838039263Z 2018-11-03 18:51:24 [XNIO-2 task-8] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 13:40:51 CST 2018,结束时间：Sat Oct 26 22:00:00 CST 2019
       citic-activity-promotion_citic-activity-promotion_4  | 2018-11-03T10:51:38.645807279Z 2018-11-03 18:51:38 [AsyncResolver-bootstrap-executor-0] INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:46:00.567663835Z 2018-11-03 18:46:00 [XNIO-2 task-18] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:16:03 CST 2018,结束时间：Sat Oct 26 17:16:19 CST 2019
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:46:00.569288787Z 2018-11-03 18:46:00 [XNIO-2 task-18] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:16:13 CST 2018,结束时间：Sat Oct 26 17:16:34 CST 2019
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:46:00.571498236Z 2018-11-03 18:46:00 [XNIO-2 task-18] INFO  com.citic.activity.promotion.utils.DateUnit - 开始时间：Wed Oct 17 17:16:09 CST 2018,结束时间：Sat Oct 26 17:16:29 CST 2019
       citic-activity-promotion_citic-activity-promotion_6  | 2018-11-03T10:46:00.571535048Z 2018-11-03 18:46:00 [XNIO-2 task-18] INFO  com.citic.activity.promotion.controller.LotteryController - all product info :[{"4":"0.0"},{"7":"0.0"},{"1":"0.02"},{"2":"0.02"},{"3":"0.02"},{"5":"0.02"},{"6":"0.02"},{"8":"0.9"}],all weight is:0.9999999
